Name,Year of release,Rating,Genre,imdb Url,votes,,
Joker,2019,8.5,"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt7286456/?ref_=adv_li_tt,"804,392",,
Once Upon a Time... in Hollywood,2019,7.7,"
Comedy, Drama            ",http://www.imdb.com/title/tt7131622/?ref_=adv_li_tt,"475,635",,
Gisaengchung,2019,8.6,"
Comedy, Drama, Thriller            ",http://www.imdb.com/title/tt6751668/?ref_=adv_li_tt,"422,877",,
1917,2019,8.3,"
Drama, War            ",http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,"323,820",,
Jojo Rabbit,2019,7.9,"
Comedy, Drama, War            ",http://www.imdb.com/title/tt2584384/?ref_=adv_li_tt,"223,514",,
Little Women,2019,7.9,"
Drama, Romance            ",http://www.imdb.com/title/tt3281548/?ref_=adv_li_tt,"108,259",,
Mad Max: Fury Road,2015,8.1,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt1392190/?ref_=adv_li_tt,"843,787",,
Django Unchained,2012,8.4,"
Drama, Western            ",http://www.imdb.com/title/tt1853728/?ref_=adv_li_tt,"1,300,800",,
Inception,2010,8.8,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt1375666/?ref_=adv_li_tt,"1,971,147",,
Inglourious Basterds,2009,8.3,"
Adventure, Drama, War            ",http://www.imdb.com/title/tt0361748/?ref_=adv_li_tt,"1,213,637",,
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt0120737/?ref_=adv_li_tt,"1,601,843",,
Titanic,1997,7.8,"
Drama, Romance            ",http://www.imdb.com/title/tt0120338/?ref_=adv_li_tt,"1,013,727",,
The Shawshank Redemption,1994,9.3,"
Drama            ",http://www.imdb.com/title/tt0111161/?ref_=adv_li_tt,"2,248,348",,
Pulp Fiction,1994,8.9,"
Crime, Drama            ",http://www.imdb.com/title/tt0110912/?ref_=adv_li_tt,"1,760,453",,
The Godfather,1972,9.2,"
Crime, Drama            ",http://www.imdb.com/title/tt0068646/?ref_=adv_li_tt,"1,551,325",,
,,,,,,,
Ford v. Ferrari,2019,8.1,"
Action, Biography, Drama            ",http://www.imdb.com/title/tt1950186/?ref_=adv_li_tt,"221,385",,
,,,,,,,
The Irishman,2019,7.9,"
Biography, Crime, Drama            ",http://www.imdb.com/title/tt1302006/?ref_=adv_li_tt,"293,090",,
,,,,,,,
Saving Private Ryan,1998,8.6,"
Drama, War            ",http://www.imdb.com/title/tt0120815/?ref_=adv_li_tt,"1,189,059",,
,,,,,,,
